exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Double Dumbbell Split Jerk,Intermediate,Shoulders,Dumbbell,Staggered Stance,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Full Body,Push,Compound,Bilateral,Unsorted*
Suspension Reverse Fly,Beginner,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Unsorted*
Double Dumbbell Decline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Split Jerk,Intermediate,Shoulders,Dumbbell,Staggered Stance,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Full Body,Push,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Bodyweight Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,Lower Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Copenhagen Plank with Leg Lift,Intermediate,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,Lower Body,Other,Compound,Unilateral,Unsorted*
Double Dumbbell Chest Fly,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Decline Bench Chest Fly,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Suitcase Calf Raise,Beginner,Calves,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Front Rack Feet Elevated Calf Raise,Novice,Calves,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Dumbbell Crush Grip Bent Over Row,Beginner,Back,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Calf Raise,Beginner,Calves,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Combo Exercise,Vertical Push,Upper Body,Push & Pull,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Floor Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Kettlebell,Split Squat Isometric,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Compound,Unilateral,Balance
Bodyweight Single Leg Hip Thrust,Novice,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Hip Thrust,Novice,Glutes,Stability Ball,Single Leg Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Kettlebell,Split Squat Isometric,Double Arm,Continuous,Neutral,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Compound,Unilateral,Balance
Single Arm Kettlebell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Kettlebell,Single Leg Standing,Single Arm,Continuous,Hand Assisted,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Ipsilateral,Bodybuilding
Double Kettlebell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Kettlebell,Split Squat Isometric,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Compound,Unilateral,Balance
Cable V Grip Seated Floor Lat Pulldown,Beginner,Back,Cable,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Kettlebell,Split Squat Isometric,Double Arm,Continuous,Neutral,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Compound,Unilateral,Balance
Battle Rope Alternating Wave,Beginner,Biceps,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Other,Compound,Unilateral,Unsorted*
Cable Rope Tall Kneeling Tricep Pushdown,Beginner,Triceps,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Bodyweight Feet Elevated Calf Raise,Beginner,Calves,Bodyweight,Standing,No Arms,Continuous,No Grip,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Stability Ball Reverse Hyperextension,Novice,Glutes,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Bodyweight Frog Reverse Hyperextension,Novice,Glutes,Bodyweight,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Bodyweight Reverse Hyperextension,Novice,Glutes,Bodyweight,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Bilateral,Bodybuilding
Cable Rope Tall Kneeling Low to High Chop,Intermediate,Abdominals,Cable,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight V Up,Novice,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Barbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Barbell Back Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Reverse Lunge,Beginner,Quadriceps,Sliders,Standing,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Push Jerk,Intermediate,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Full Body,Push,Compound,Bilateral,Olympic Weightlifting 
Barbell Power Clean to Push Jerk,Expert,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Vertical Push,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
Barbell Squat Clean to Push Jerk,Expert,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Vertical Push,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
Single Arm Kettlebell Outside Swing,Novice,Glutes,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Suitcase Alternating Forward Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Reverse Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Contralateral Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Contralateral,Ballistics
Single Arm Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Overhead Press,Beginner,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Cable Straight Bar Bicep Curl,Beginner,Biceps,Cable,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Kettlebell Glute Bridge Isometric Floor Press,Novice,Chest,Kettlebell,Bridge,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Full Body,Push,Compound,Bilateral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Double Dumbbell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Double Clubbell Order Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Clubbell Order Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Macebell Order Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Landmine Goblet Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Landmine Shoulder Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Landmine Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Landmine Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Landmine Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Suspension Jump Squat,Intermediate,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Plyometric
Alternating Double Dumbbell Incline Bench Press,Beginner,Chest,Dumbbell,Seated,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Decline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Miniband Glute Bridge,Beginner,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Top Down Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Top Down Incline Bench Press,Beginner,Chest,Dumbbell,Seated,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Top Down Decline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Bar Dead Hang,Beginner,Back,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Upper Body,Other,Compound,Bilateral,Unsorted*
Trap Bar Deadlift,Novice,Back,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Staggered Stance Deadlift,Novice,Back,Trap Bar,Staggered Stance,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Unilateral,Bodybuilding
Resistance Band Alternating Bicep Curl,Beginner,Biceps,Resistance Band,Standing,Double Arm,Alternating,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Landmine Goblet Alternating Curtsy Lunge,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Goblet,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Curtsy Lunge,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Alternating Curtsy Lunge,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Suitcase Carry,Intermediate,Forearms,Trap Bar,Walking,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Bilateral,Unsorted*
Trap Bar Romanian Deadlift,Novice,Hamstrings,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Bicep Curl,Beginner,Biceps,Resistance Band,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Resistance Band Chest Press,Beginner,Chest,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Unsorted*
Resistance Band Alternating Chest Press,Beginner,Chest,Resistance Band,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Trap Bar Deficit Deadlift,Intermediate,Back,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,Feet Elevated,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Bulgarian Split Squat,Intermediate,Quadriceps,Trap Bar,Single Leg Supported,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Jump Squat,Advanced,Quadriceps,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Plyometric
Resistance Band Chest Fly,Beginner,Chest,Resistance Band,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Battle Rope Power Slam to Burpee,Intermediate,Chest,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Combo Exercise,Horizontal Push,Full Body,Other,Compound,Bilateral,Plyometric
Resistance Band Low Row,Beginner,Back,Resistance Band,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Battle Rope Alternating Reverse Lunge Alternating Wave ,Intermediate,Quadriceps,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Split Squat Isometric Hold,Novice,Quadriceps,Bodyweight,Split Squat Isometric,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Isometric Hold,Lower Body,Other,Compound,Unilateral,Balance
Bodyweight Split Squat,Beginner,Quadriceps,Bodyweight,Split Squat,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Unsorted*
Barbell Frog Pump,Novice,Glutes,Barbell,Bridge,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Front Rack Calf Raise,Novice,Calves,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Back Rack Calf Raise,Novice,Calves,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Trap Bar Calf Raise,Novice,Calves,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Zercher Cyclist Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,No Grip,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Rack Pull,Novice,Back,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Mid Row,Beginner,Back,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Face Pull,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Face Pull to Overhead Press,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Bodybuilding
Single Arm Resistance Band Low Row,Beginner,Back,Resistance Band,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Resistance Band Mid Row,Beginner,Back,Resistance Band,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Resistance Band Chest Press,Beginner,Chest,Resistance Band,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Resistance Band Reverse Grip Bicep Curl,Beginner,Forearms,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Resistance Band Alternating Reverse Grip Bicep Curl,Beginner,Forearms,Resistance Band,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Resistance Band Hammer Curl,Beginner,Biceps,Resistance Band,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Battle Rope Jumping Jack,Novice,Shoulders,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Shoulder Abduction,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope Jump Squat Power Slam,Intermediate,Quadriceps,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope Alternating Side Slam,Novice,Abdominals,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Battle Rope Jump Squat Alternating Wave,Intermediate,Quadriceps,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope In and Out Jump Squat Power Slam,Intermediate,Quadriceps,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Bilateral,Plyometric
Battle Rope In and Out Jump Squat Alternating Wave,Intermediate,Quadriceps,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Bilateral,Plyometric
